"order_year","order_month","order_month_name","monthly_revenue","previous_month_revenue","revenue_growth"
"2011","5","May","503805.92","",""
"2011","6","June","458910.82","503805.92","-44895.10"
"2011","7","July","2044600.00","458910.82","1585689.18"
"2011","8","August","2495816.73","2044600.00","451216.73"
"2011","9","September","502073.85","2495816.73","-1993742.88"
"2011","10","October","4588761.82","502073.85","4086687.97"
"2011","11","November","737839.82","4588761.82","-3850922.00"
"2011","12","December","1309863.25","737839.82","572023.43"
"2012","1","January","3970627.28","1309863.25","2660764.03"
"2012","2","February","1475426.91","3970627.28","-2495200.37"
"2012","3","March","2975748.24","1475426.91","1500321.33"
"2012","4","April","1634600.80","2975748.24","-1341147.44"
"2012","5","May","3074602.81","1634600.80","1440002.01"
"2012","6","June","4099354.36","3074602.81","1024751.55"
"2012","7","July","3417953.87","4099354.36","-681400.49"
"2012","8","August","2175637.22","3417953.87","-1242316.65"
"2012","9","September","3454151.94","2175637.22","1278514.72"
"2012","10","October","2544091.11","3454151.94","-910060.83"
"2012","11","November","1872701.98","2544091.11","-671389.13"
"2012","12","December","2829404.82","1872701.98","956702.84"
"2013","1","January","2087872.46","2829404.82","-741532.36"
"2013","2","February","2316922.15","2087872.46","229049.69"
"2013","3","March","3412068.97","2316922.15","1095146.82"
"2013","4","April","2532265.91","3412068.97","-879803.06"
"2013","5","May","3245623.75","2532265.91","713357.84"
"2013","6","June","5081069.13","3245623.75","1835445.38"
"2013","7","July","4896353.74","5081069.13","-184715.39"
"2013","8","August","3333964.07","4896353.74","-1562389.67"
"2013","9","September","4532908.71","3333964.07","1198944.64"
"2013","10","October","4795813.29","4532908.71","262904.58"
"2013","11","November","3312130.25","4795813.29","-1483683.04"
"2013","12","December","4075486.63","3312130.25","763356.38"
"2014","1","January","4289817.95","4075486.63","214331.32"
"2014","2","February","1337725.04","4289817.95","-2952092.91"
"2014","3","March","7217531.09","1337725.04","5879806.05"
"2014","4","April","1797173.92","7217531.09","-5420357.17"
"2014","5","May","5366674.97","1797173.92","3569501.05"
"2014","6","June","49005.84","5366674.97","-5317669.13"
