"order_year","order_month_name","monthly_revenue","previous_month_revenue","revenue_difference"
"2014","February","1337725.04","4289817.95","-2952092.91"
"2014","February","1337725.04","2087872.46","-750147.42"
"2014","February","1337725.04","3970627.28","-2632902.24"
"2012","February","1475426.91","4289817.95","-2814391.04"
"2012","February","1475426.91","2087872.46","-612445.55"
"2012","February","1475426.91","3970627.28","-2495200.37"
"2013","February","2316922.15","4289817.95","-1972895.80"
"2013","February","2316922.15","3970627.28","-1653705.13"
"2012","April","1634600.80","3412068.97","-1777468.17"
"2012","April","1634600.80","7217531.09","-5582930.29"
"2012","April","1634600.80","2975748.24","-1341147.44"
"2013","April","2532265.91","3412068.97","-879803.06"
"2013","April","2532265.91","7217531.09","-4685265.18"
"2013","April","2532265.91","2975748.24","-443482.33"
"2014","April","1797173.92","3412068.97","-1614895.05"
"2014","April","1797173.92","7217531.09","-5420357.17"
"2014","April","1797173.92","2975748.24","-1178574.32"
"2011","May","503805.92","1634600.80","-1130794.88"
"2011","May","503805.92","2532265.91","-2028459.99"
"2011","May","503805.92","1797173.92","-1293368.00"
"2014","June","49005.84","3245623.75","-3196617.91"
"2014","June","49005.84","3074602.81","-3025596.97"
"2014","June","49005.84","5366674.97","-5317669.13"
"2014","June","49005.84","503805.92","-454800.08"
"2011","June","458910.82","3245623.75","-2786712.93"
"2011","June","458910.82","3074602.81","-2615691.99"
"2011","June","458910.82","5366674.97","-4907764.15"
"2011","June","458910.82","503805.92","-44895.10"
"2012","June","4099354.36","5366674.97","-1267320.61"
"2013","June","5081069.13","5366674.97","-285605.84"
"2013","July","4896353.74","5081069.13","-184715.39"
"2012","July","3417953.87","4099354.36","-681400.49"
"2012","July","3417953.87","5081069.13","-1663115.26"
"2011","July","2044600.00","4099354.36","-2054754.36"
"2011","July","2044600.00","5081069.13","-3036469.13"
"2011","August","2495816.73","4896353.74","-2400537.01"
"2011","August","2495816.73","3417953.87","-922137.14"
"2012","August","2175637.22","4896353.74","-2720716.52"
"2012","August","2175637.22","3417953.87","-1242316.65"
"2013","August","3333964.07","4896353.74","-1562389.67"
"2013","August","3333964.07","3417953.87","-83989.80"
"2011","September","502073.85","2495816.73","-1993742.88"
"2011","September","502073.85","2175637.22","-1673563.37"
"2011","September","502073.85","3333964.07","-2831890.22"
"2012","October","2544091.11","3454151.94","-910060.83"
"2012","October","2544091.11","4532908.71","-1988817.60"
"2012","November","1872701.98","4795813.29","-2923111.31"
"2012","November","1872701.98","2544091.11","-671389.13"
"2012","November","1872701.98","4588761.82","-2716059.84"
"2013","November","3312130.25","4795813.29","-1483683.04"
"2013","November","3312130.25","4588761.82","-1276631.57"
"2011","November","737839.82","4795813.29","-4057973.47"
"2011","November","737839.82","2544091.11","-1806251.29"
"2011","November","737839.82","4588761.82","-3850922.00"
"2011","December","1309863.25","1872701.98","-562838.73"
"2011","December","1309863.25","3312130.25","-2002267.00"
"2012","December","2829404.82","3312130.25","-482725.43"
